event_id,session_id,student_id,timestamp,status,section_id,timetable_id,room_id,date,week_number,opened_by_staff_id,start_time,end_time,course_code,staff_id,semester,capacity,course_name,credit_hours,department,name,email,year_level,department_stu
EVT0000024,SESS00001,STU00084,2026-09-10 10:58:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Sara Nasser,student84@bua.edu.eg,2,AI Engineering
EVT0000025,SESS00001,STU00086,2026-09-10 11:03:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Bishoy Ghaly,student86@bua.edu.eg,2,Computer Science
EVT0000026,SESS00001,STU00097,2026-09-10 11:06:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Karim Gerges,student97@bua.edu.eg,4,AI Engineering
EVT0000027,SESS00001,STU00099,2026-09-10 11:11:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Sara Anwar,student99@bua.edu.eg,4,Information Systems
EVT0000028,SESS00001,STU00103,2026-09-10 11:17:00,late,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Rana Attia,student103@bua.edu.eg,1,AI Engineering
EVT0000029,SESS00001,STU00104,,absent,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Sara Fouad,student104@bua.edu.eg,4,Computer Science
EVT0000030,SESS00001,STU00105,2026-09-10 11:01:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Rizk,student105@bua.edu.eg,2,AI Engineering
EVT0000031,SESS00001,STU00106,,absent,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Kirollos Fathy,student106@bua.edu.eg,2,Data Science
EVT0000032,SESS00001,STU00108,2026-09-10 11:07:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Youssef Refaat,student108@bua.edu.eg,1,Computer Science
EVT0000033,SESS00001,STU00110,2026-09-10 11:08:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Yara Fouad,student110@bua.edu.eg,1,Information Systems
EVT0000034,SESS00001,STU00112,2026-09-10 11:03:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Ahmed Sobhy,student112@bua.edu.eg,2,Computer Science
EVT0000035,SESS00001,STU00113,2026-09-10 11:09:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Bishoy Sobhy,student113@bua.edu.eg,4,Information Systems
EVT0000036,SESS00002,STU00006,2026-09-17 10:58:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Kirollos Samir,student6@bua.edu.eg,2,Data Science
EVT0000037,SESS00002,STU00009,2026-09-17 11:07:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Mostafa Attia,student9@bua.edu.eg,1,Data Science
EVT0000038,SESS00002,STU00011,,absent,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Mostafa Ghaly,student11@bua.edu.eg,1,Data Science
EVT0000039,SESS00002,STU00018,2026-09-17 11:01:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Hassan Ibrahim,student18@bua.edu.eg,2,AI Engineering
EVT0000040,SESS00002,STU00020,2026-09-17 11:07:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Yara Attia,student20@bua.edu.eg,1,Computer Science
EVT0000041,SESS00002,STU00023,2026-09-17 11:06:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Malak Fathy,student23@bua.edu.eg,3,AI Engineering
EVT0000042,SESS00002,STU00024,2026-09-17 11:21:00,late,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Nada Gerges,student24@bua.edu.eg,3,Data Science
EVT0000043,SESS00002,STU00026,2026-09-17 11:21:00,late,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Ahmed Ghaly,student26@bua.edu.eg,3,Information Systems
EVT0000044,SESS00002,STU00029,2026-09-17 11:06:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,George Nasser,student29@bua.edu.eg,3,Computer Science
EVT0000045,SESS00002,STU00030,2026-09-17 10:57:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Hana Rizk,student30@bua.edu.eg,1,AI Engineering
EVT0000046,SESS00002,STU00042,2026-09-17 11:00:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Ibrahim,student42@bua.edu.eg,4,AI Engineering
EVT0000047,SESS00002,STU00047,,absent,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Nour Anwar,student47@bua.edu.eg,1,Information Systems
EVT0000048,SESS00002,STU00049,2026-09-17 11:24:00,late,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Nour Rizk,student49@bua.edu.eg,3,Information Systems
EVT0000049,SESS00002,STU00050,,absent,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,George Ghaly,student50@bua.edu.eg,4,Data Science
EVT0000050,SESS00002,STU00053,2026-09-17 11:05:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Dina Hanna,student53@bua.edu.eg,3,AI Engineering
EVT0000051,SESS00002,STU00057,,absent,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Hana Fathy,student57@bua.edu.eg,4,Data Science
EVT0000052,SESS00002,STU00058,2026-09-17 11:22:00,late,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Farida Wahba,student58@bua.edu.eg,3,AI Engineering
EVT0000053,SESS00002,STU00060,2026-09-17 10:58:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Salma Kamel,student60@bua.edu.eg,3,Computer Science
EVT0000054,SESS00002,STU00062,2026-09-17 11:02:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Fouad,student62@bua.edu.eg,2,AI Engineering
EVT0000055,SESS00002,STU00065,2026-09-17 11:09:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Ahmed Fouad,student65@bua.edu.eg,2,Information Systems
EVT0000056,SESS00002,STU00078,2026-09-17 11:04:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Verina Attia,student78@bua.edu.eg,4,Information Systems
EVT0000057,SESS00002,STU00080,2026-09-17 11:00:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Fady Samir,student80@bua.edu.eg,1,Computer Science
EVT0000058,SESS00002,STU00082,2026-09-17 11:11:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Fahmy,student82@bua.edu.eg,3,Data Science
EVT0000059,SESS00002,STU00084,2026-09-17 11:01:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Sara Nasser,student84@bua.edu.eg,2,AI Engineering
EVT0000060,SESS00002,STU00086,2026-09-17 11:03:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Bishoy Ghaly,student86@bua.edu.eg,2,Computer Science
EVT0000061,SESS00002,STU00097,2026-09-17 11:12:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Karim Gerges,student97@bua.edu.eg,4,AI Engineering
EVT0000062,SESS00002,STU00099,,absent,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Sara Anwar,student99@bua.edu.eg,4,Information Systems
EVT0000063,SESS00002,STU00103,2026-09-17 11:01:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Rana Attia,student103@bua.edu.eg,1,AI Engineering
EVT0000064,SESS00002,STU00104,2026-09-17 11:07:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Sara Fouad,student104@bua.edu.eg,4,Computer Science
EVT0000065,SESS00002,STU00105,,absent,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Rizk,student105@bua.edu.eg,2,AI Engineering
EVT0000066,SESS00002,STU00106,2026-09-17 11:02:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Kirollos Fathy,student106@bua.edu.eg,2,Data Science
EVT0000067,SESS00002,STU00108,2026-09-17 11:07:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Youssef Refaat,student108@bua.edu.eg,1,Computer Science
EVT0000068,SESS00002,STU00110,2026-09-17 11:05:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Yara Fouad,student110@bua.edu.eg,1,Information Systems
EVT0000069,SESS00002,STU00112,2026-09-17 11:03:00,present,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Ahmed Sobhy,student112@bua.edu.eg,2,Computer Science
EVT0000070,SESS00002,STU00113,,absent,ATT-S001,TT0001,R08,2026-09-17,2,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Bishoy Sobhy,student113@bua.edu.eg,4,Information Systems
EVT0000071,SESS00003,STU00006,2026-09-24 11:06:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Kirollos Samir,student6@bua.edu.eg,2,Data Science
EVT0000072,SESS00003,STU00009,2026-09-24 11:24:00,late,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Mostafa Attia,student9@bua.edu.eg,1,Data Science
EVT0000073,SESS00003,STU00011,2026-09-24 11:12:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Mostafa Ghaly,student11@bua.edu.eg,1,Data Science
EVT0000074,SESS00003,STU00018,2026-09-24 11:08:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Hassan Ibrahim,student18@bua.edu.eg,2,AI Engineering
EVT0000075,SESS00003,STU00020,2026-09-24 11:05:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Yara Attia,student20@bua.edu.eg,1,Computer Science
EVT0000076,SESS00003,STU00023,2026-09-24 11:09:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Malak Fathy,student23@bua.edu.eg,3,AI Engineering
EVT0000077,SESS00003,STU00024,,absent,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Nada Gerges,student24@bua.edu.eg,3,Data Science
EVT0000078,SESS00003,STU00026,2026-09-24 11:01:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Ahmed Ghaly,student26@bua.edu.eg,3,Information Systems
EVT0000079,SESS00003,STU00029,2026-09-24 11:06:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,George Nasser,student29@bua.edu.eg,3,Computer Science
EVT0000080,SESS00003,STU00030,,absent,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Hana Rizk,student30@bua.edu.eg,1,AI Engineering
EVT0000081,SESS00003,STU00042,,absent,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Ibrahim,student42@bua.edu.eg,4,AI Engineering
EVT0000082,SESS00003,STU00047,2026-09-24 11:16:00,late,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Nour Anwar,student47@bua.edu.eg,1,Information Systems
EVT0000083,SESS00003,STU00049,2026-09-24 11:05:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Nour Rizk,student49@bua.edu.eg,3,Information Systems
EVT0000084,SESS00003,STU00050,,absent,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,George Ghaly,student50@bua.edu.eg,4,Data Science
EVT0000085,SESS00003,STU00053,2026-09-24 11:04:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Dina Hanna,student53@bua.edu.eg,3,AI Engineering
EVT0000086,SESS00003,STU00057,2026-09-24 11:04:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Hana Fathy,student57@bua.edu.eg,4,Data Science
EVT0000087,SESS00003,STU00058,2026-09-24 10:58:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Farida Wahba,student58@bua.edu.eg,3,AI Engineering
EVT0000088,SESS00003,STU00060,2026-09-24 11:07:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Salma Kamel,student60@bua.edu.eg,3,Computer Science
EVT0000089,SESS00003,STU00062,2026-09-24 11:00:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Fouad,student62@bua.edu.eg,2,AI Engineering
EVT0000090,SESS00003,STU00065,2026-09-24 11:01:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Ahmed Fouad,student65@bua.edu.eg,2,Information Systems
EVT0000091,SESS00003,STU00078,2026-09-24 11:02:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Verina Attia,student78@bua.edu.eg,4,Information Systems
EVT0000092,SESS00003,STU00080,2026-09-24 11:12:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Fady Samir,student80@bua.edu.eg,1,Computer Science
EVT0000093,SESS00003,STU00082,2026-09-24 11:03:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Fahmy,student82@bua.edu.eg,3,Data Science
EVT0000094,SESS00003,STU00084,2026-09-24 11:17:00,late,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Sara Nasser,student84@bua.edu.eg,2,AI Engineering
EVT0000095,SESS00003,STU00086,2026-09-24 10:58:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Bishoy Ghaly,student86@bua.edu.eg,2,Computer Science
EVT0000096,SESS00003,STU00097,,absent,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Karim Gerges,student97@bua.edu.eg,4,AI Engineering
EVT0000097,SESS00003,STU00099,2026-09-24 10:58:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Sara Anwar,student99@bua.edu.eg,4,Information Systems
EVT0000098,SESS00003,STU00103,,absent,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Rana Attia,student103@bua.edu.eg,1,AI Engineering
EVT0000099,SESS00003,STU00104,,absent,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Sara Fouad,student104@bua.edu.eg,4,Computer Science
EVT0000100,SESS00003,STU00105,,rejected_duplicate,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Rizk,student105@bua.edu.eg,2,AI Engineering
EVT0000101,SESS00003,STU00106,2026-09-24 11:12:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Kirollos Fathy,student106@bua.edu.eg,2,Data Science
EVT0000102,SESS00003,STU00108,2026-09-24 11:06:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Youssef Refaat,student108@bua.edu.eg,1,Computer Science
EVT0000103,SESS00003,STU00110,,absent,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Yara Fouad,student110@bua.edu.eg,1,Information Systems
EVT0000104,SESS00003,STU00112,2026-09-24 11:00:00,present,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Ahmed Sobhy,student112@bua.edu.eg,2,Computer Science
EVT0000105,SESS00003,STU00113,,absent,ATT-S001,TT0001,R08,2026-09-24,3,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Bishoy Sobhy,student113@bua.edu.eg,4,Information Systems
