student_id,total_events,attendance_rate,late_rate,absent_count,name
STU00071,120,0.583,0.05,41,Nada Saad
STU00072,80,0.988,0.038,1,Basel Nasser
STU00073,80,0.612,0.062,26,Reem Kamel
STU00074,100,0.75,0.02,22,Hana Nabil
STU00075,120,0.258,0.008,79,Andrew Rizk
STU00076,80,0.938,0.075,4,Malak Samir
STU00077,100,0.87,0.1,12,Nour Ghaly
STU00078,100,0.82,0.04,13,Verina Attia
STU00079,80,0.888,0.075,6,Omar Sobhy
STU00080,120,0.625,0.033,37,Fady Samir
STU00081,100,0.91,0.05,7,Hana Hanna
STU00082,100,0.92,0.1,8,Basel Fahmy
STU00083,100,1.0,0.06,0,Amir Anwar
STU00084,120,0.775,0.092,22,Sara Nasser
STU00085,120,0.508,0.008,49,Bishoy Anwar
STU00086,100,0.85,0.04,11,Bishoy Ghaly
STU00087,120,0.692,0.042,31,Dina Adel
STU00088,120,0.9,0.075,7,Ziad Ibrahim
STU00089,100,0.82,0.04,15,Verina Nasser
STU00090,100,0.9,0.04,9,Rana Fahmy
STU00091,120,0.55,0.025,46,Kirollos Saad
STU00092,80,0.988,0.062,1,Mina Sobhy
STU00093,120,0.758,0.075,28,Karim Fahmy
STU00094,80,0.825,0.05,12,Youssef Ibrahim
STU00095,100,0.83,0.05,14,Amir Attia
STU00096,80,0.588,0.038,27,Salma Fouad
STU00097,120,0.9,0.108,9,Karim Gerges
STU00098,120,0.875,0.05,12,Hana Nasser
STU00099,120,0.817,0.083,19,Sara Anwar
STU00100,120,0.833,0.05,16,Yara Anwar
STU00101,100,0.38,0.01,54,Dina Ghaly
STU00102,100,0.87,0.06,10,Peter Nabil
STU00103,120,0.767,0.058,21,Rana Attia
STU00104,120,0.775,0.017,24,Sara Fouad
STU00105,100,0.82,0.03,15,Basel Rizk
STU00106,80,0.875,0.088,8,Kirollos Fathy
STU00107,80,1.0,0.062,0,Hana Sobhy
STU00108,100,0.88,0.02,10,Youssef Refaat
STU00109,80,0.888,0.025,9,Dina Fathy
STU00110,80,0.838,0.025,12,Yara Fouad
STU00111,80,0.588,0.025,29,Mina Gerges
STU00112,80,0.662,0.025,24,Ahmed Sobhy
STU00113,80,0.788,0.075,15,Bishoy Sobhy
STU00114,60,1.0,0.133,0,Hana Ibrahim
STU00115,60,0.75,0.067,14,Marina Wahba
STU00116,40,0.925,0.075,1,Yara Refaat
STU00117,40,0.825,0.0,6,Basel Samir
